Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0322404009961569,-0.0121839545480329,0.0242001899898715,0,0,0,0.273578996308918,0.000408167222936915,-9.2712333598329E-07,0.000102969885410275,0.00230055335375825,-1.06071690347641E-05,0.00198082718128536,0,0,0,0,0,0,package://gripper_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/base_link.STL,,Base_Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R0,0.00462701433812369,-0.0042003563347738,-0.0157310959910837,0,0,0,0.0750116042111743,1.45347204744741E-05,-9.11265277816875E-07,-2.76020077437339E-07,1.74679741367642E-05,1.97812443216016E-08,2.60590712125727E-05,0,0,0,0,0,0,package://gripper_description/meshes/R0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R0.STL,,link1-1,Coordinate System2,Axis1,BR,prismatic,-0.11531,-0.042524,-0.059709,-3.1416,0,0.065406,base_link,1,0,0,0,0,0,0,,,,,,,,
R11,-0.00148352942504504,-0.000166455445621716,0.0215102433565049,0,0,0,0.00247788084165121,4.16684022932768E-07,-9.59529510561512E-23,-4.1534145403795E-09,4.2333409280235E-07,-5.89986571903447E-22,2.35170156233658E-08,0,0,0,0,0,0,package://gripper_description/meshes/R11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R11.STL,,link2-1,Coordinate System3,Axis15,R11,revolute,0,0,0,0,0.062267,0,R0,0,-1,0,0,0,-1.57,1.57,,,,,,,,
R12,0.00684373395702625,5.55111512312578E-17,0.00636062044373634,0,0,0,0.00154436431180963,4.41203010878178E-08,6.0384184716371E-23,-1.17256664019142E-10,1.21407436401498E-07,-3.10606320013662E-22,8.14054401451723E-08,0,0,0,0,0,0,package://gripper_description/meshes/R12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R12.STL,,link3-1,Coordinate System5,Axis17,R12,continuous,0,0,0.037616,0,0.27082,0,R11,0,-1,0,,,,,,,,,,,,
R13,-0.00129354632500545,-3.12250225675825E-16,0.0188077890894883,0,0,0,0.00291104044468461,4.6470048093132E-07,-8.9335506155727E-23,2.28439173971017E-21,4.66918501832891E-07,1.52366668832268E-21,3.04993224394877E-08,0,0,0,0,0,0,package://gripper_description/meshes/R13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R13.STL,,link4-1,Coordinate System25,Axis19,R13,continuous,0,0,0.0126984206684708,0,-0.0869779675075645,0,R12,0,-1,0,,,,,,,,,,,,
R14,-0.00159728266465028,-0.000127737938442049,0.00980504402347104,0,0,0,0.000855794450563546,4.91644817806748E-08,-6.29366634353681E-11,1.28101257125642E-09,5.61237339035891E-08,-3.82606685454945E-10,1.01070819767269E-08,0,0,0,0,0,0,package://gripper_description/meshes/R14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R14.STL,,link10-1,Coordinate System11,Axis21,R14,continuous,0,0,0.0376155781789762,-3.14159265358979,1.13622687888438,-3.14159265358979,R13,0,-1,0,,,,,,,,,,,,
R21,0.00295950346882796,-0.0149386136139195,0.0189032972186492,0,0,0,0.00383104152389727,1.27270952699547E-06,1.49758621969911E-10,1.08068040766418E-08,4.60668729964555E-07,5.13769649609066E-10,8.83192201545963E-07,0,0,0,0,0,0,package://gripper_description/meshes/R21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R21.STL,,link5-1,Coordinate System4,Axis14,R21,continuous,0.021791,0,0,0,-0.0022637,0,R0,0,-1,0,,,,,,,,,,,,
R22,0.00255512642912835,-0.0147979035481008,0.0193778242116071,0,0,0,0.00641426678278481,2.31727374237321E-06,3.7066844920426E-10,-4.93604691847286E-09,5.04145047786201E-07,-1.11263648753588E-10,1.87825144784261E-06,0,0,0,0,0,0,package://gripper_description/meshes/R22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R22.STL,,link6-1,Coordinate System7,Axis18,R22,continuous,0,0,0.0375980625533051,0,0.234125795859488,0,R21,0,1,0,,,,,,,,,,,,
R23,0.000725879768722099,-0.0147490918954057,0.00921347775752149,0,0,0,0.00416085934979352,1.03788232810775E-06,-1.20969710263363E-09,-3.72096117255084E-08,3.21002104187949E-07,-1.16667048056618E-08,7.51361056860196E-07,0,0,0,0,0,0,package://gripper_description/meshes/R23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R23.STL,,link11-1,Coordinate System8,Axis20,R23,revolute,0,0,0.037547,0,-0.23186,0,R22,0,-1,0,0,0,-1.57,1.57,,,,,,,,
R31,-0.00524378805995029,-1.0860583266048E-13,0.0321562998871323,0,0,0,0.00466986556397568,2.31207413937099E-06,4.48265717554737E-20,-1.30907661533039E-07,2.48097882210357E-06,2.90506089622565E-20,2.01876184588613E-07,0,0,0,0,0,0,package://gripper_description/meshes/R31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R31.STL,,link7-1,Coordinate System9,Axis16,R31,continuous,-0.0181447421942682,-0.0290000000000147,0.000650894535383834,0,0.55680256519482,0,R0,0,-1,0,,,,,,,,,,,,
R311,0.00642701244580534,-1.67140606910365E-15,0.0131810825729761,0,0,0,0.0012752435112436,1.04103806667515E-07,-2.27598745543966E-21,-8.73915148640386E-09,1.49169214200332E-07,-2.62251409355343E-20,5.87253204055131E-08,0,0,0,0,0,0,package://gripper_description/meshes/R311.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R311.STL,,link8-1,Coordinate System12,Axis22,R311,continuous,0,0,0.0461961376509757,3.1415926535887,1.38635179567719,3.14159265358843,R31,0,-1,0,,,,,,,,,,,,
R312,-0.000247761230079246,0.000999999999994579,0.0105701715612085,0,0,0,0.000789518544793439,7.3976201887365E-08,-1.65436122510606E-24,-7.30020466664284E-12,7.89102222353134E-08,1.71274725165523E-20,7.0394031340644E-09,0,0,0,0,0,0,package://gripper_description/meshes/R312.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gripper_description/meshes/R312.STL,,link9-1,Coordinate System13,Axis23,R312,continuous,-0.000135085779788074,0,0.0670020264570977,0,0.116288989682376,0,R31,0,-1,0,,,,,,,,,,,,
